function_type;description;function_mysql;argument_func_mysql;function_postgresql;argument_func_postgresql;returns;detailed_description;examples_mysql;examples_postgresql;replacing
дата и время;обьединение даты и времени;TIMESTAMP();"дата, время";date 'значение' + time 'значение';"дата, время";дата и время;"объединения даты и временного значения. Функция TIMESTAMP() автоматически конвертирует каждые 24 часа в 1 день.  Временное значение может не указываться, в таком случае оно будет принято равным 00:00:00.";"SELECT TIMESTAMP('2023-10-20', '28:00')   ---- 2023-10-21 04:00:00";select date '2015-01-21' + time '18:00'    ----   2015-01-21 18:00:00.000;
дата и время;форматирования даты и времени;DATE_FORMAT();"дата и время (дата), строка формата";;"дата и время (дата), строка формата";строка;"форматирования даты и времени. в качестве первого аргумента может принимать не только дату и время, но и просто дату. Во втором случае считается, что дата имеет нулевые значения по всем компонентам времени.";"SELECT DATE_FORMAT('2023-10-20 07:30:00', '%H:%i, %d.%m.%Y')    ----   07:30, 20.10.2023";;
дата и время;форматирование времени;TIME_FORMAT();"временное значение, строка формата";;"временное значение, строка формата";строка;форматирование времени ;"SELECT TIME_FORMAT('12:30:00', 'Time: %H:%i')     -----   Time: 12:30 ";;
дата и время;строка в дату ;STR_TO_DATE();"строка с компонентами даты и времени, строка формата";"TO_DATE(), T0_TIMESTAMP()";"строка с компонентами даты и времени, строка формата";дата (+-время);"Функция извлекает из строки string компоненты даты и времени в соответствии с форматом format и возвращает дату и время на основе извлеченных компонентов. Если в строке с компонентами представлены только компоненты даты, функция STR_TO_DATE() вернет дату без времени, если только компоненты времени — время без даты.  При этом для создания даты или даты и времени должны быть определены все компоненты даты (год, месяц, число), и если хотя бы один компонент пропущен, функция вернет значение NULL. В случае с временным значением достаточно одного любого компонента, остальные по умолчанию примут значение 0.  Во время использования функции STR_TO_DATE() необходимо следить за тем, чтобы строка с компонентами даты и времени полностью соответствовала строке формата, в противном случае функция вернет значение NULL.";"SELECT STR_TO_DATE('07:30, 20.10.2023', '%H:%i, %d.%m.%Y')     -----    2023-10-20 07:30:00";"SELECT TO_DATE('20170103','YYYYMMDD')   ---   2017-01-03;   TO_DATE('10 Feb 2017', 'DD Mon YYYY')    ----    2017-02-10;";
дата и время;получение формата;GET_FORMAT();"тип объекта, для которого требуется строка формата (DATE, TIME или DATETIME), непосредственно формат (USA, JIS, ISO или EUR)";;"тип объекта, для которого требуется строка формата (DATE, TIME или DATETIME), непосредственно формат (USA, JIS, ISO или EUR)";формат;"получения определенной строки формата для даты, времени или даты и времени. ";"SELECT GET_FORMAT(DATETIME, 'EUR')    ----   %Y-%m-%d %H.%i.%s";;
дополнительные;проверка на NULL;ISNULL();значение;'значение' IS NULL;значение;1 или 0;"принимает в качестве аргумента произвольное значение и возвращает 1, если переданным значением является NULL, или 0 в противном случае.";"SELECT ISNULL(0)   ---   0,        ISNULL(NULL)       -----    1;";"SELECT  '1' IS null   ---  false;     SELECT ROW(table.*) IS NULL FROM table;";
дополнительные;условие - 2 значения;IF();"условное выражение, значение1, значение2";условные конструкции;"условное выражение, значение1, значение2";значение;"используется для выбора одного из двух значений в зависимости от результата некоторого условного выражения. возвращает значение1, если условное выражение истинно, или значение2 в противном случае.";"SELECT IF(1 > 0, 'bee', 'geek')     ----    bee";case when '20' > '18' then '1' else '2' end;
дополнительные;первый не NULL из списка значений;COALESCE();аргументы ч-з запятую;COALESCE();аргументы ч-з запятую;значение;"поиск первого непустого значения. Она принимает переменное количество аргументов и возвращает первый из них, не равный NULL.";"SELECT COALESCE(1, 2, 3)   ---   1,        COALESCE(NULL, 2, 3)   ---   2,        COALESCE(1, NULL, 3)    ---   1";;
дополнительные;меняет NULL на значение;IFNULL();"исходное проверяемое значение, альтернативное значение";COALESCE();аргументы ч-з запятую;значение;"замена некоторого значения на альтернативное, если исходное значение равняется NULL.  возвращает значение value, если оно не равняется NULL, или значение alternative_value в противном случае.";"SELECT IFNULL(NULL, 'geek')    ----    geek,        IFNULL('bee', 'geek')    ----    bee";;COALESCE()
дополнительные;Сравнивает 2 значения;NULLIF();"значение1, значение2";NULLIF();"значение1, значение2";NULL или значение;"сравнение двух значений.  возвращает значение NULL, если значения value1 и value2 совпадают, или значение value1 в противном случае.  ";"SELECT NULLIF('bee', 'bee')     ----    NULL,        NULLIF('bee', 'geek')    ----    bee";;
дополнительные;конвертация типов данных;CONVERT();"значения (кот нужно преобразовать), тип";;"значения (кот нужно преобразовать), тип";значение;"Функция приводит значение value к типу type и возвращает полученный результат.  Значение, приводимое к определенному типу, должно соответствовать формату этого типа, в противном случае функция CONVERT() вернет значение NULL.  Однако при попытке привести несоответствующее формату значение к числовому типу функция CONVERT() вернет значение 0.  ";"SELECT CONVERT(100.78, DECIMAL(4, 1))   ---   100.8,   SELECT CONVERT CONVERT('beegeek', DATE)   ---   NULL,    SELECT CONVERT('beegeek', SIGNED)   ---   0";;
дополнительные;условные конструкции — значения;CASE;набор условных конструкций;CASE;набор условных конструкций;значение;проверку нескольких условий и в зависимости от истинности одного из них вернуть соответствующее значение. ;"SELECT title, author,        UPPER(CASE 
                                                               WHEN price < 5 THEN 'Cheap'  
                                                               WHEN price BETWEEN 5 AND 15 THEN 'Regular' 
                                                               ELSE 'Expensive' 
                                                               END) AS rate FROM Books;
                                ORDER BY CASE              WHEN title LIKE 'The %' THEN 1              ELSE 2          END;";;
дополнительные;порядковый номер из списка;FIELD();"поле, аргументы для сравнения ч-з запятую";;"поле, аргументы для сравнения ч-з запятую";число;"возвращает индекс одного из аргументов (начиная со второго аргумента, который имеет индекс 1) при совпадении первого аргумента с ним, или 0 при отсутствии совпадений.";"ORDER BY FIELD(status, 'Basic', 'Bronze', 'Silver', 'Gold') DESC, name ";;
агрегатные;среднее арифметическое ;AVG();поле (набор значений);AVG();поле (набор значений);число;"вычисления среднего арифметического числовых значений поля.  игнорирует значения NULL при вычислении среднего арифметического значений поля. можно использовать ключевое слово DISTINCT, чтобы в итоговых вычислениях участвовали лишь уникальные значения поля. возвращают значение 0.0, если применяются к нечисловым полям.";"SELECT AVG(streams) AS avg_streams FROM Songs WHERE release_year >= 2000;";;
